   31:37  error    Hardcoded color '#F44336' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   74:22  error    Hardcoded color '#1E1E1E' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   84:12  error    Hardcoded color '#1A1A1A' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   96:12  error    Hardcoded color '#666666' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   99:12  error    Hardcoded color '#CCCCCC' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  111:22  error    Hardcoded color '#FF6B6B' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
   36:20  error    Hardcoded color '#22c55e' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                     local/no-hardcoded-colors
   64:20  error    Hardcoded color '#00f5ff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                     local/no-hardcoded-colors
   71:20  error    Hardcoded color '#667eea' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                     local/no-hardcoded-colors
   23:7   error    Hardcoded color '#ff0000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   24:7   error    Hardcoded color '#ff7f00' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   26:7   error    Hardcoded color '#00ff00' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
   28:7   error    Hardcoded color '#4b0082' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)                                                                                                                                                                                                                                                                                                                                                               local/no-hardcoded-colors
